id	nudge_week	sat_active2	sat_active3	sat_active4	feel_learn2	feel_learn3	feel_learn4	enjoy2	enjoy3	enjoy4	want_active2	want_active3	want_active4
1	4	1	1	1	5	4	4	5	4	4	1	1	1
2	4	1	1	0	4	4		4	3		1	1	0
3	4	0	0	0	4	4	4	4	4	4	1	1	0
4	3	0	0	0	4	4	4	4	4	4	0	0	0
5	4	1	0	1	4	4	3	4	4	4	1	0	1
6	3	1	1	0	5	5	3	5	4	3	1	1	1
7	3	1	1	1	4	5	5	4	5	5	1	1	1
8	3	0	0	0	4	4	4	4	4	3	1	1	0
10	3	0	1	1	4	4	5	4	4	5	1	1	1
11	4	1	0	1	5	5	5	4	5	5	1	1	1
12	3	0	0	0	4	3		4	4		0	0	0
13	3	0	0	0	5	5	5	5	5	5	1	1	1
14	3	1	1	1	5	5	4	5	4	4	1	1	1
15	3	0	1	0	3	4		4	3		1	1	0
16	3	1	1	0	5	5		5	5		1	1	0
17	3	0	0	0	4	4		4	4		0	0	0
18	3	0	1	0	5	5	4	4	3	4	0	1	0
19	4	0	0	0	4	4	4	3	3	4	0	0	0
20	4	0	0	0	5	4		4	3		0	0	0
21	4	1	0	0	3	4	4	3	4	4	1	1	1
22	3	1	1	1	3	4	4	3	4	4	1	1	1
23	4	0	0	0	5	3	4	4	3	4	1	1	1
24	4	1	0	0	5	4	4	4	4	4	1	1	1
25	4	1	1	1	5	4	5	5	4	5	1	1	1
26	3	1	1	1	4	4	4	3	3	4	1	1	1
27	4	0	1	1		5	5	5	5	5	0	1	1
28	4	1	1	1	4	3	3	3	4	4	1	1	1
29	4	0	0	0	5	5	4	5	5	4	0	0	0
30	3	0	0	0	5	4	5	5	4	5	1	0	0
31	4	0	0	0	3	3	3	3	3	3	1	0	0
32	4	0	0	0	5	4	5	4	4	4	0	0	0
33	3	0	0	0	5	4	4	4	4	4	0	0	0
34	3	1	0	1	2	3	2	3	3	3	1	1	1
35	3	0	0	0	4	4	4	4	4	4	0	0	0
36	3	0	0	0	5	4	4	4	4	4	1	1	0
37	3	0	0	0	4	4	4	4	4	4	1	0	1
38	3	1	0	1	4	4	4	4	3	4	1	1	1
39	3	0	0	0	5	4	4	4	4	4	0	0	0
40	4	0	0	0	4	4		4	4		0	0	0
41	4	0	0	1	3	3	4	3	3	4	1	1	1
42	4	0	0	1	3	4	4	3	4	4	1	1	1
43	4	1	1	1	4	4	5	4	4	4	1	1	1
44	3	1	1	1	4	4	5	3	3	3	1	1	1
45	3	0	0	0	4	4	5	4	4	4	0	0	0
46	3	1	0	0	4	4	4	4	4	4	0	0	0
47	3	0	0	0	5	4		5	4		0	0	0
48	3	1	0	0	3	4	5	3	4	5	0	0	0
49	4	0	0	1	5	4	4	5	4	4	0	0	1
50	3	0	0	0	3	5	5	3	5	5	1	1	1
51	3	1	0	0	3	4	4	3	4	4	1	1	1
52	3	0	1	0	5	5	5	5	5	5	1	1	1
53	3	1	1	1	4	3	4	3	3	5	0	1	1
54	4	1	1	1	2	4	4	3	4	4	1	1	1
55	4	0	0	0	4	3	4	3	3	3	0	0	0
56	3	1	1	1	5	4	3	5	3	4	1	1	1
57	3	1	1	1	4	4	4	4	4	4	1	1	1
58	4	0	0	0	4	4	4	4	4	4	1	1	1
59	3	1	1	1	3	3	3	3	3	3	1	1	1
60	4	0	0	0	5	5	4	4	4	4	0	1	0
61	3	1	1	1	5	5	4	5	5	4	1	1	1
62	4	1	1	0	5	5		5	5		1	1	0
63	3	1	1	1	5	5	5	5	5	5	1	1	1
64	4	1	0	1	4	4	4	3	4	4	0	0	1
65	4	1	1	1	4	4	3	5	3	3	1	1	1
66	3	0	0	0	4	4		4	4		1	1	0
67	3	1	0	0	4	4		4	4		1	1	0
68	4	1	1	1	5	5	4	5	5	5	1	1	1
69	3	0	0	0	4	5		4	4		1	1	0
70	3	1	0	1	5	5	5	5	5	5	1	1	1
71	4	1	1	1	4	4	5	4	4	5	1	1	1
72	3	0	1	1	3	4	4	4	2	4	1	1	1
73	4	1	0	0	4	4		4	3		1	0	0
74	3	0	0	0	4	4	4	4	4	4	0	0	0
75	4	1	1	1	5	5	4	5	5	4	1	1	1
76	4	0	0	1	4	4	4	2	3	2	0	0	1
77	3	0	0	0	4	4	3	3	3	3	0	0	0
78	3	1	1	1	3	4	3	3	3	3	1	1	1
79	4	1	0	1	5	4	5	4	4	5	1	1	1
80	3	0	0	0	5	5	4	5	5	4	0	0	0
81	3	0	0	0	5	4	3	5	4	3	0	0	0
82	4	0	0	1	4	4	4	4	4	4	0	1	1
83	4	1	1	1	4	5	5	4	5	5	1	1	1
84	3	1	1	0	3	4	4	2	4	4	1	1	0
85	4	0	0	0	3	4	4	4	5	5	0	0	1
86	4	1	0	1	5	4	4	4	4	4	1	0	1
87	4	0	1	1	4	4	5	4	4	5	0	0	1
88	4	0	0	0	5	4	4	5	4	4	0	0	0
89	4	0	1	0	4	4	4	4	4	4	0	1	0
90	4	1	0	0	4	4	4	4	4	4	1	1	1
91	3	0	1	0	3	4	4	3	4	4	1	1	1
92	3	1	1	1	4	5	4	4	5	4	1	1	1
93	3	1	0	0	3	3	4	3	3	1	1	0	0
94	3	0	0	0	4	4	4	4	4	4	1	1	0
95	4	1	1	0	2	4	3	3	4	3	1	1	0
96	3	0	1	0	3	5		4	5		0	1	0
97	4	0	0	0	4	4	3	4	4	4	0	0	0
98	4	1	0	0	4	4	5	4	4	5	1	1	1
99	3	0	1	0	4	4	4	4	4	4	0	1	0
100	4	0	0	1	4	4	4	4	4	4	0	0	1
101	3	0	0	0	5	4	4	4	4	4	1	0	0
102	4	0	1	0	4	4		4	4		1	1	0
103	4	0	1	1	5	4	5	5	3	5	1	1	1
104	4	0	0	0	4	5	1	4	4	1	0	0	0
105	4	1	0	1	3	3	3	3	4	3	1	0	1
106	4	0	0	1	5	5	5	5	5	5	1	1	1
107	3	0	0	0	4	4	4	4	4	4	0	0	0
108	3	0	0	1	3	4	4	4	4	4	0	0	1
109	3	1	0	0	4	5	4	4	4	4	0	0	0
110	3	0	1	1	4	4	4	4	4	3	0	1	1
111	4	0	0	0	5	4		5	4		1	1	0
112	4	0	0	1	4	4	4	4	3	4	0	0	1
113	4	1	0	1	4	4	4	4	4	4	1	1	1
